Id,Label,community,modularity_class
370,https://openalex.org/W3157799726,0,2
371,https://openalex.org/W3201230360,0,3
372,https://openalex.org/W4252522791,0,2
373,https://openalex.org/W2006286874,0,3
374,https://openalex.org/W67521929,0,1
375,https://openalex.org/W3011991986,0,0
376,https://openalex.org/W2912553318,0,3
377,https://openalex.org/W95037286,0,3
378,https://openalex.org/W634122886,0,5
379,https://openalex.org/W1983765585,0,3
380,https://openalex.org/W2402180027,0,0
381,https://openalex.org/W307751793,0,3
382,https://openalex.org/W4200117551,0,0
383,https://openalex.org/W2293889879,0,0
384,https://openalex.org/W2959802180,0,0
385,https://openalex.org/W3173887894,0,1
386,https://openalex.org/W1976242345,0,1
387,https://openalex.org/W2975597237,0,1
388,https://openalex.org/W2976473605,0,1
389,https://openalex.org/W3014967070,0,1
390,https://openalex.org/W3125165152,0,1
391,https://openalex.org/W349184934,0,4
392,https://openalex.org/W2311482,0,4
393,https://openalex.org/W1985449744,0,0
394,https://openalex.org/W2000968207,0,4
395,https://openalex.org/W1674814,0,0
396,https://openalex.org/W222835566,0,0
397,https://openalex.org/W2273879972,0,0
398,https://openalex.org/W125298133,0,0
399,https://openalex.org/W294372358,0,3
400,https://openalex.org/W15996443,0,0
401,https://openalex.org/W3123075714,0,0
402,https://openalex.org/W1880092905,0,0
403,https://openalex.org/W4285160658,0,2
404,https://openalex.org/W2471857960,0,5
405,https://openalex.org/W3135826459,0,2
406,https://openalex.org/W4319759182,0,0
407,https://openalex.org/W3107018722,0,5
408,https://openalex.org/W3189656983,0,0
409,https://openalex.org/W3191595179,0,0
410,https://openalex.org/W3193089035,0,0
411,https://openalex.org/W4246578143,0,0
412,https://openalex.org/W4383533945,0,2
413,https://openalex.org/W3035226513,0,2
414,https://openalex.org/W58248783,0,3
415,https://openalex.org/W94932913,0,3
416,https://openalex.org/W1490717966,0,3
417,https://openalex.org/W1537998701,0,4
418,https://openalex.org/W1480999374,0,2
419,https://openalex.org/W2038343521,0,2
420,https://openalex.org/W2167744834,0,2
421,https://openalex.org/W1881482998,0,4
422,https://openalex.org/W2317156317,0,4
423,https://openalex.org/W1552528093,0,4
424,https://openalex.org/W2252552045,0,4
425,https://openalex.org/W4298001153,0,5
426,https://openalex.org/W1491427068,0,1
427,https://openalex.org/W1984064238,0,5
428,https://openalex.org/W3002491385,0,5
429,https://openalex.org/W3084065861,0,2
430,https://openalex.org/W4285191398,0,5
431,https://openalex.org/W1505405092,0,4
432,https://openalex.org/W10392737,0,4
433,https://openalex.org/W2340349072,0,0
434,https://openalex.org/W1520879396,0,0
435,https://openalex.org/W1912511787,0,0
436,https://openalex.org/W2549645983,0,4
437,https://openalex.org/W3213471292,0,2
438,https://openalex.org/W4387020772,0,5
439,https://openalex.org/W4387097434,0,0
440,https://openalex.org/W2904464355,0,0
441,https://openalex.org/W2953905399,0,3
442,https://openalex.org/W2975822812,0,1
443,https://openalex.org/W3215048856,0,1
444,https://openalex.org/W2968956863,0,2
445,https://openalex.org/W1830800183,0,4
446,https://openalex.org/W2257705163,0,3
447,https://openalex.org/W2487735702,0,3
448,https://openalex.org/W1600687844,0,4
449,https://openalex.org/W2187679303,0,4
450,https://openalex.org/W2973890485,0,5
451,https://openalex.org/W3030040809,0,4
452,https://openalex.org/W3124543521,0,4
453,https://openalex.org/W2502672703,0,0
454,https://openalex.org/W1585828362,0,1
455,https://openalex.org/W1759583669,0,1
456,https://openalex.org/W1989213081,0,2
457,https://openalex.org/W192750986,0,0
458,https://openalex.org/W821000995,0,0
459,https://openalex.org/W2596672484,0,4
460,https://openalex.org/W2134703963,0,4
461,https://openalex.org/W2396603668,0,4
462,https://openalex.org/W2640297923,0,3
463,https://openalex.org/W2559829230,0,3
464,https://openalex.org/W3021492074,3,1
465,https://openalex.org/W1981838924,3,1
466,https://openalex.org/W3030172654,0,2
467,https://openalex.org/W3206710252,0,5
468,https://openalex.org/W2050431808,0,0
469,https://openalex.org/W2281200811,0,1
470,https://openalex.org/W2893720055,0,3
471,https://openalex.org/W2911940844,0,5
472,https://openalex.org/W3123250208,0,5
473,https://openalex.org/W4319759167,4,5
474,https://openalex.org/W2482594472,4,5
475,https://openalex.org/W2948758626,4,5
476,https://openalex.org/W4393942920,0,3
477,https://openalex.org/W2334051715,0,3
478,https://openalex.org/W3198926453,0,3
479,https://openalex.org/W2995148498,0,2
480,https://openalex.org/W3073606695,0,5
481,https://openalex.org/W3122054313,0,2
482,https://openalex.org/W648893379,1,3
483,https://openalex.org/W2159974860,0,0
484,https://openalex.org/W2808475485,0,3
485,https://openalex.org/W2106741928,0,3
486,https://openalex.org/W2166303988,0,3
487,https://openalex.org/W1608892311,0,1
488,https://openalex.org/W2395831272,0,0
489,https://openalex.org/W18790134,0,0
490,https://openalex.org/W2165863080,0,0
491,https://openalex.org/W2345919783,0,0
492,https://openalex.org/W2975948723,0,0
493,https://openalex.org/W2738895225,0,4
494,https://openalex.org/W1991296241,0,4
495,https://openalex.org/W1673498679,0,4
496,https://openalex.org/W1590235226,0,1
