year,state bonus,minimum income,national dividend,social dividend,basic minimum income,basic income,negative income tax,minimum income guarantee,guaranteed minimum income,basic income guarantee,demogrant,guaranteed income,credit income tax,citizen’s basic income,citizen’s income,helicopter money,quantitative easing,unconditional basic income,universal basic income
1991,0,5,0,2,1,6,3,0,0,0,0,2,0,0,0,0,0,0,1
1992,1,3,1,6,0,7,2,0,0,0,1,0,0,0,0,0,0,2,1
1993,0,3,0,4,0,9,7,0,0,0,2,4,1,0,0,0,0,2,0
1994,0,7,1,0,0,6,3,2,0,0,1,0,0,0,0,0,0,0,0
1995,0,5,0,4,0,11,9,1,0,0,0,0,0,0,0,0,0,1,0
1996,2,10,0,12,0,24,8,4,0,4,0,1,0,0,0,0,0,6,1
1997,0,14,0,0,0,20,8,2,0,2,1,1,0,0,0,0,0,3,1
1998,0,8,0,6,0,12,9,2,0,2,3,4,1,0,0,0,0,4,3
1999,0,10,1,0,1,20,7,0,0,2,0,4,0,0,0,0,0,3,0
2000,0,20,0,0,0,47,6,2,2,0,4,3,0,0,0,0,0,4,2
2001,1,14,0,4,0,23,8,3,2,6,0,3,0,0,0,0,0,5,2
2002,0,10,0,4,1,23,9,2,2,2,0,4,1,0,0,0,0,3,2
2003,0,6,0,0,0,29,7,1,0,4,0,2,0,0,0,0,0,2,1
2004,2,15,1,8,1,52,8,2,0,2,1,3,1,0,0,0,0,5,7
2005,1,22,0,10,0,44,8,4,0,20,3,6,0,0,0,0,0,6,7
2006,0,14,0,2,0,59,10,4,2,14,1,3,0,0,0,0,0,7,9
2007,0,20,1,0,0,40,12,2,4,6,1,5,0,1,0,0,0,3,7
2008,0,25,0,8,0,71,14,2,0,20,4,6,0,0,0,0,0,16,13
2009,0,19,0,8,0,36,8,5,2,6,1,5,0,0,0,0,0,6,9
2010,1,18,1,4,0,54,14,1,2,16,1,5,1,0,0,0,0,10,6
2011,0,23,1,2,1,43,6,3,2,0,1,5,1,0,0,0,1,12,2
2012,1,25,1,8,0,91,18,4,0,36,5,7,1,0,0,0,2,15,12
2013,0,24,0,2,0,76,11,1,6,12,4,3,1,0,5,0,0,13,16
2014,0,23,0,0,1,82,10,1,8,24,1,1,1,0,2,1,1,8,15
2015,1,22,2,10,0,92,14,3,2,12,2,2,0,0,0,0,3,22,24
2016,0,33,2,6,2,124,16,4,2,32,4,4,0,0,2,0,3,22,38
2017,1,30,2,8,0,230,26,3,8,30,9,8,1,1,2,2,6,20,103
2018,3,30,1,12,1,256,33,3,4,30,8,12,0,9,0,1,4,26,134
2019,0,29,0,10,1,286,24,2,4,22,6,17,0,3,0,0,4,33,127
2020,0,10,0,0,0,250,2,2,2,12,1,2,0,2,0,0,0,14,106
2021,0,3,0,0,0,206,3,0,6,4,0,2,0,2,0,0,0,9,81
2022,0,4,0,0,0,129,0,0,4,0,0,0,0,0,0,1,1,8,57
2023,0,1,0,0,0,161,2,1,0,0,0,2,0,1,0,0,0,7,72
2024,0,1,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,1,23
